Player,Pos.,Caps,Goals,Debut Date,Last Date
Noel Peyton,MF,6,0,1956,1962
Terry Phelan,DF,42,0,1991,2000
Anthony Pilkington,MF,8,1,2013,2014
Darren Potter,MF,5,0,2007,2008
Alan Quinn,MF,8,0,2003,2007
Barry Quinn,MF,4,0,2000,2000
Niall Quinn,FW,91,21,1986,2002
Stephen Quinn,MF,10,0,2013,2014
Darren Randolph,GK,2,0,2012,2013
Andy Reid,MF,27,4,2003,2007
Charlie Reid,FW,1,0,1931,1931
Steven Reid,MF,23,2,2001,2008
Damien Richardson,FW,3,0,1971,1979
Alf Rigby,FW,3,0,1934,1935
Alf Ringstead,FW,20,6,1951,1959
Jeremiah Robinson,DF,2,0,1928,1931
Michael Robinson,FW,24,4,1980,1986
Paddy Roche,GK,8,0,1971,1975
Eamonn Rogers,MF,19,5,1967,1972
Martin Rowlands,MF,5,0,2004,2009
Gerry Ryan,FW,18,1,1978,1984
Reg Ryan,MF,16,3,1949,1955
Richard Sadlier,FW,1,0,2002,2002
Conor Sammon,FW,9,0,2013,2013
Dave Savage,MF,5,0,1996,1996
Pat Saward,DF,18,0,1954,1962
Tom Scannell,GK,1,0,1954,1954
Pat Scully,DF,1,0,1988,1988
Kevin Sheedy,MF,46,9,1983,1993
Cillian Sheridan,FW,3,0,2010,2010
John Sheridan,FW,34,5,1988,1995
Bernie Slaven,FW,7,1,1990,1993
Paddy Sloan,MF,2,1,1946,1946
Mick Smyth,GK,1,0,1968,1968
Johnny Squires,FW,1,1,1934,1934
Sean St Ledger,DF,37,3,2009,2013
Frank Stapleton,FW,71,20,1976,1990
Steve Staunton,DF,102,8,1988,2002
Alex Stevenson,FW,7,0,1932,1948
Anthony Stokes,FW,4,0,2007,2011
Freddie Strahan,MF,5,1,1964,1966
Jack Sullivan,DF,1,0,1928,1928
Maurice Swan,GK,1,0,1960,1960
Noel Synnott,DF,3,0,1978,1978
Tommy Taylor,GK,1,0,1958,1958
Peter Thomas,GK,2,0,1973,1974
John Thompson,DF,1,0,2003,2003
Andy Townsend,MF,70,7,1989,1997
Tommy Traynor,DF,8,0,1954,1964
Keith Treacy,MF,6,0,2010,2011
Ray Treacy,FW,42,5,1966,1979
Liam Tuohy,FW,8,4,1955,1965
Charlie Turner,DF,10,0,1936,1939
Paddy Turner,FW,2,0,1963,1964
Jackie Vernon,DF,2,0,1946,1946
Gary Waddock,MF,21,3,1980,1990
Billy Walsh,MF,9,0,1946,1950
Davy Walsh,FW,20,5,1946,1953
Johnny Walsh,MF,1,0,1982,1982
Mickey Walsh,FW,21,2,1976,1984
Jonathan Walters,FW,34,6,2010,2015
Stephen Ward,DF,29,2,2011,2014
Joe Waters,MF,2,1,1976,1979
Fran Watters,FW,1,0,1926,1926
Ned Weir,MF,3,0,1939,1939
Keiren Westwood,GK,17,0,2009,2015
Glenn Whelan,MF,78,2,2008,2017
Billy Whelan,MF,4,0,1956,1957
Ronnie Whelan,MF,53,3,1981,1995
Ronnie Whelan Sr.,FW,2,0,1963,1964
Jimmy White,FW,1,2,1928,1928
Dick Whittaker,DF,1,0,1959,1959
Joe Williams,DF,1,0,1937,1937
Marc Wilson,DF,25,1,2011,2016
