Statistic,Quarter,Area of Residence,UNIT,VALUE
Births Registered,2010Q2,Waterford City,Number,236
Births Registered,2010Q2,Clare,Number,408
Births Registered,2010Q2,Cork City,Number,395
Births Registered,2010Q2,Cork County,Number,1696
Births Registered,2010Q2,Kerry,Number,471
Births Registered,2010Q2,Limerick City,Number,179
Births Registered,2010Q2,Limerick County,Number,605
Births Registered,2010Q2,North Tipperary,Number,297
Births Registered,2010Q2,South Tipperary,Number,320
Births Registered,2010Q2,Tipperary,Number,
Births Registered,2010Q2,Connacht,Number,2024
Births Registered,2010Q2,Galway City,Number,287
Births Registered,2010Q2,Leitrim,Number,122
Births Registered,2010Q2,Mayo,Number,421
Births Registered,2010Q2,Roscommon,Number,243
Births Registered,2010Q2,Sligo,Number,236
Births Registered,2010Q2,Galway County,Number,715
Births Registered,2010Q2,Ulster (pt),Number,1110
Births Registered,2010Q2,Cavan,Number,285
Births Registered,2010Q2,Donegal,Number,567
Births Registered,2010Q2,Monaghan,Number,258
Births Registered,2010Q2,Outside the State,Number,
Births Registered,2010Q3,State,Number,19171
Births Registered,2010Q3,Dublin City,Number,2110
Births Registered,2010Q3,Fingal,Number,1360
Births Registered,2010Q3,Dun Laoghaire Rathdown,Number,695
Births Registered,2010Q3,South Dublin,Number,1219
Births Registered,2010Q3,Leinster,Number,11012
Births Registered,2010Q3,Wicklow,Number,666
Births Registered,2010Q3,Carlow,Number,249
Births Registered,2010Q3,Kildare,Number,964
Births Registered,2010Q3,Kilkenny,Number,369
Births Registered,2010Q3,Laois,Number,373
Births Registered,2010Q3,Longford,Number,186
Births Registered,2010Q3,Louth,Number,531
Births Registered,2010Q3,Meath,Number,996
Births Registered,2010Q3,Offaly,Number,330
Births Registered,2010Q3,Westmeath,Number,381
Births Registered,2010Q3,Wexford,Number,583
Births Registered,2010Q3,Munster,Number,4924
Births Registered,2010Q3,Waterford County,Number,243
Births Registered,2010Q3,Waterford City,Number,211
Births Registered,2010Q3,Clare,Number,417
Births Registered,2010Q3,Cork City,Number,393
Births Registered,2010Q3,Cork County,Number,1742
Births Registered,2010Q3,Kerry,Number,489
Births Registered,2010Q3,Limerick City,Number,173
Births Registered,2010Q3,Limerick County,Number,618
Births Registered,2010Q3,North Tipperary,Number,331
Births Registered,2010Q3,South Tipperary,Number,307
Births Registered,2010Q3,Tipperary,Number,
Births Registered,2010Q3,Connacht,Number,2134
Births Registered,2010Q3,Galway City,Number,312
Births Registered,2010Q3,Leitrim,Number,132
Births Registered,2010Q3,Mayo,Number,475
Births Registered,2010Q3,Roscommon,Number,198
Births Registered,2010Q3,Sligo,Number,266
Births Registered,2010Q3,Galway County,Number,751
Births Registered,2010Q3,Ulster (pt),Number,1101
Births Registered,2010Q3,Cavan,Number,332
Births Registered,2010Q3,Donegal,Number,537
Births Registered,2010Q3,Monaghan,Number,232
Births Registered,2010Q3,Outside the State,Number,
Births Registered,2010Q4,State,Number,17174
Births Registered,2010Q4,Dublin City,Number,1833
Births Registered,2010Q4,Fingal,Number,1190
Births Registered,2010Q4,Dun Laoghaire Rathdown,Number,612
Births Registered,2010Q4,South Dublin,Number,1091
Births Registered,2010Q4,Leinster,Number,9699
Births Registered,2010Q4,Wicklow,Number,581
Births Registered,2010Q4,Carlow,Number,250
Births Registered,2010Q4,Kildare,Number,954
Births Registered,2010Q4,Kilkenny,Number,366
Births Registered,2010Q4,Laois,Number,328
Births Registered,2010Q4,Longford,Number,142
Births Registered,2010Q4,Louth,Number,438
Births Registered,2010Q4,Meath,Number,777
Births Registered,2010Q4,Offaly,Number,292
Births Registered,2010Q4,Westmeath,Number,340
Births Registered,2010Q4,Wexford,Number,505
Births Registered,2010Q4,Munster,Number,4688
Births Registered,2010Q4,Waterford County,Number,238
Births Registered,2010Q4,Waterford City,Number,221
Births Registered,2010Q4,Clare,Number,383
Births Registered,2010Q4,Cork City,Number,423
Births Registered,2010Q4,Cork County,Number,1629
Births Registered,2010Q4,Kerry,Number,459
Births Registered,2010Q4,Limerick City,Number,184
Births Registered,2010Q4,Limerick County,Number,533
Births Registered,2010Q4,North Tipperary,Number,303
Births Registered,2010Q4,South Tipperary,Number,315
Births Registered,2010Q4,Tipperary,Number,
Births Registered,2010Q4,Connacht,Number,1881
Births Registered,2010Q4,Galway City,Number,296
Births Registered,2010Q4,Leitrim,Number,104
Births Registered,2010Q4,Mayo,Number,423
Births Registered,2010Q4,Roscommon,Number,214
Births Registered,2010Q4,Sligo,Number,185
Births Registered,2010Q4,Galway County,Number,659
Births Registered,2010Q4,Ulster (pt),Number,906
Births Registered,2010Q4,Cavan,Number,254
Births Registered,2010Q4,Donegal,Number,502
Births Registered,2010Q4,Monaghan,Number,150
Births Registered,2010Q4,Outside the State,Number,
Births Registered,2011Q1,State,Number,19950
Births Registered,2011Q1,Dublin City,Number,2172
Births Registered,2011Q1,Fingal,Number,1602
Births Registered,2011Q1,Dun Laoghaire Rathdown,Number,799
Births Registered,2011Q1,South Dublin,Number,1378
Births Registered,2011Q1,Leinster,Number,11609
Births Registered,2011Q1,Wicklow,Number,654
Births Registered,2011Q1,Carlow,Number,272
Births Registered,2011Q1,Kildare,Number,1088
Births Registered,2011Q1,Kilkenny,Number,371
Births Registered,2011Q1,Laois,Number,359
Births Registered,2011Q1,Longford,Number,169
Births Registered,2011Q1,Louth,Number,503
