"Statistic","Year","County","Sex","UNIT","VALUE"
"Mean Weekly Earnings","2012","Sligo","Male","Euro","698.89"
"Mean Weekly Earnings","2012","Sligo","Female","Euro","577.91"
"Mean Weekly Earnings","2012","Cavan","Both sexes","Euro","589.82"
"Mean Weekly Earnings","2012","Cavan","Male","Euro","657.17"
"Mean Weekly Earnings","2012","Cavan","Female","Euro","530.95"
"Mean Weekly Earnings","2012","Donegal","Both sexes","Euro","533.2"
"Mean Weekly Earnings","2012","Donegal","Male","Euro","578.9"
"Mean Weekly Earnings","2012","Donegal","Female","Euro","494.94"
"Mean Weekly Earnings","2012","Monaghan","Both sexes","Euro","556.23"
"Mean Weekly Earnings","2012","Monaghan","Male","Euro","594.97"
"Mean Weekly Earnings","2012","Monaghan","Female","Euro","521.9"
"Mean Weekly Earnings","2013","All counties (1)","Both sexes","Euro","677.17"
"Mean Weekly Earnings","2013","All counties (1)","Male","Euro","775.65"
"Mean Weekly Earnings","2013","All counties (1)","Female","Euro","585.05"
"Mean Weekly Earnings","2013","Carlow","Both sexes","Euro","595.05"
"Mean Weekly Earnings","2013","Carlow","Male","Euro","661.61"
"Mean Weekly Earnings","2013","Carlow","Female","Euro","530.42"
"Mean Weekly Earnings","2013","Dublin","Both sexes","Euro","758.64"
"Mean Weekly Earnings","2013","Dublin","Male","Euro","870.28"
"Mean Weekly Earnings","2013","Dublin","Female","Euro","649.19"
"Mean Weekly Earnings","2013","Kildare","Both sexes","Euro","718.95"
"Mean Weekly Earnings","2013","Kildare","Male","Euro","836.12"
"Mean Weekly Earnings","2013","Kildare","Female","Euro","601.7"
"Mean Weekly Earnings","2013","Kilkenny","Both sexes","Euro","632.08"
"Mean Weekly Earnings","2013","Kilkenny","Male","Euro","715.7"
"Mean Weekly Earnings","2013","Kilkenny","Female","Euro","562.96"
"Mean Weekly Earnings","2013","Laois","Both sexes","Euro","634.12"
"Mean Weekly Earnings","2013","Laois","Male","Euro","714.74"
"Mean Weekly Earnings","2013","Laois","Female","Euro","562.2"
"Mean Weekly Earnings","2013","Longford","Both sexes","Euro","592.3"
"Mean Weekly Earnings","2013","Longford","Male","Euro","643.97"
"Mean Weekly Earnings","2013","Longford","Female","Euro","544.46"
"Mean Weekly Earnings","2013","Louth","Both sexes","Euro","622.92"
"Mean Weekly Earnings","2013","Louth","Male","Euro","703.93"
"Mean Weekly Earnings","2013","Louth","Female","Euro","544.29"
"Mean Weekly Earnings","2013","Meath","Both sexes","Euro","701.63"
"Mean Weekly Earnings","2013","Meath","Male","Euro","819.97"
"Mean Weekly Earnings","2013","Meath","Female","Euro","589.23"
"Mean Weekly Earnings","2013","Offaly","Both sexes","Euro","613.62"
"Mean Weekly Earnings","2013","Offaly","Male","Euro","687.92"
"Mean Weekly Earnings","2013","Offaly","Female","Euro","541.2"
"Mean Weekly Earnings","2013","Westmeath","Both sexes","Euro","634.09"
"Mean Weekly Earnings","2013","Westmeath","Male","Euro","708.77"
"Mean Weekly Earnings","2013","Westmeath","Female","Euro","563.87"
"Mean Weekly Earnings","2013","Wexford","Both sexes","Euro","574.35"
"Mean Weekly Earnings","2013","Wexford","Male","Euro","644.96"
"Mean Weekly Earnings","2013","Wexford","Female","Euro","512.1"
"Mean Weekly Earnings","2013","Wicklow","Both sexes","Euro","699.57"
"Mean Weekly Earnings","2013","Wicklow","Male","Euro","831.95"
"Mean Weekly Earnings","2013","Wicklow","Female","Euro","579.03"
"Mean Weekly Earnings","2013","Clare","Both sexes","Euro","652.91"
"Mean Weekly Earnings","2013","Clare","Male","Euro","758.7"
"Mean Weekly Earnings","2013","Clare","Female","Euro","561.29"
"Mean Weekly Earnings","2013","Cork","Both sexes","Euro","674.34"
"Mean Weekly Earnings","2013","Cork","Male","Euro","786.29"
"Mean Weekly Earnings","2013","Cork","Female","Euro","567.53"
"Mean Weekly Earnings","2013","Kerry","Both sexes","Euro","580.89"
"Mean Weekly Earnings","2013","Kerry","Male","Euro","654.12"
"Mean Weekly Earnings","2013","Kerry","Female","Euro","518.44"
"Mean Weekly Earnings","2013","Limerick","Both sexes","Euro","652.07"
"Mean Weekly Earnings","2013","Limerick","Male","Euro","748.98"
"Mean Weekly Earnings","2013","Limerick","Female","Euro","560.56"
"Mean Weekly Earnings","2013","Tipperary","Both sexes","Euro","615.55"
"Mean Weekly Earnings","2013","Tipperary","Male","Euro","697.92"
"Mean Weekly Earnings","2013","Tipperary","Female","Euro","541.45"
"Mean Weekly Earnings","2013","Waterford","Both sexes","Euro","629.21"
"Mean Weekly Earnings","2013","Waterford","Male","Euro","727.14"
"Mean Weekly Earnings","2013","Waterford","Female","Euro","540.49"
"Mean Weekly Earnings","2013","Galway","Both sexes","Euro","644.99"
"Mean Weekly Earnings","2013","Galway","Male","Euro","719.75"
"Mean Weekly Earnings","2013","Galway","Female","Euro","579.93"
"Mean Weekly Earnings","2013","Leitrim","Both sexes","Euro","593.2"
"Mean Weekly Earnings","2013","Leitrim","Male","Euro","647.5"
"Mean Weekly Earnings","2013","Leitrim","Female","Euro","550.6"
"Mean Weekly Earnings","2013","Mayo","Both sexes","Euro","587.99"
"Mean Weekly Earnings","2013","Mayo","Male","Euro","651.06"
"Mean Weekly Earnings","2013","Mayo","Female","Euro","533.69"
"Mean Weekly Earnings","2013","Roscommon","Both sexes","Euro","611.49"
"Mean Weekly Earnings","2013","Roscommon","Male","Euro","677.29"
"Mean Weekly Earnings","2013","Roscommon","Female","Euro","555.99"
"Mean Weekly Earnings","2013","Sligo","Both sexes","Euro","623.4"
"Mean Weekly Earnings","2013","Sligo","Male","Euro","686.17"
"Mean Weekly Earnings","2013","Sligo","Female","Euro","570.37"
"Mean Weekly Earnings","2013","Cavan","Both sexes","Euro","590.4"
"Mean Weekly Earnings","2013","Cavan","Male","Euro","656.15"
"Mean Weekly Earnings","2013","Cavan","Female","Euro","531.38"
"Mean Weekly Earnings","2013","Donegal","Both sexes","Euro","530.03"
"Mean Weekly Earnings","2013","Donegal","Male","Euro","572.38"
"Mean Weekly Earnings","2013","Donegal","Female","Euro","493.55"
"Mean Weekly Earnings","2013","Monaghan","Both sexes","Euro","552.29"
"Mean Weekly Earnings","2013","Monaghan","Male","Euro","590.14"
"Mean Weekly Earnings","2013","Monaghan","Female","Euro","517.23"
"Mean Weekly Earnings","2014","All counties (1)","Both sexes","Euro","678.69"
"Mean Weekly Earnings","2014","All counties (1)","Male","Euro","776.79"
"Mean Weekly Earnings","2014","All counties (1)","Female","Euro","585.08"
"Mean Weekly Earnings","2014","Carlow","Both sexes","Euro","593.9"
"Mean Weekly Earnings","2014","Carlow","Male","Euro","662.25"
"Mean Weekly Earnings","2014","Carlow","Female","Euro","525.79"
"Mean Weekly Earnings","2014","Dublin","Both sexes","Euro","761.79"
"Mean Weekly Earnings","2014","Dublin","Male","Euro","872.55"
"Mean Weekly Earnings","2014","Dublin","Female","Euro","651.16"
"Mean Weekly Earnings","2014","Kildare","Both sexes","Euro","717.31"
"Mean Weekly Earnings","2014","Kildare","Male","Euro","831.65"
"Mean Weekly Earnings","2014","Kildare","Female","Euro","600.01"
"Mean Weekly Earnings","2014","Kilkenny","Both sexes","Euro","633.37"
"Mean Weekly Earnings","2014","Kilkenny","Male","Euro","717.98"
"Mean Weekly Earnings","2014","Kilkenny","Female","Euro","561.23"
"Mean Weekly Earnings","2014","Laois","Both sexes","Euro","637.09"
"Mean Weekly Earnings","2014","Laois","Male","Euro","718.55"
"Mean Weekly Earnings","2014","Laois","Female","Euro","560.58"
"Mean Weekly Earnings","2014","Longford","Both sexes","Euro","587.72"
"Mean Weekly Earnings","2014","Longford","Male","Euro","639.76"
"Mean Weekly Earnings","2014","Longford","Female","Euro","538.78"
"Mean Weekly Earnings","2014","Louth","Both sexes","Euro","623.02"
"Mean Weekly Earnings","2014","Louth","Male","Euro","704"
"Mean Weekly Earnings","2014","Louth","Female","Euro","543.52"
"Mean Weekly Earnings","2014","Meath","Both sexes","Euro","697.34"
"Mean Weekly Earnings","2014","Meath","Male","Euro","812.57"
"Mean Weekly Earnings","2014","Meath","Female","Euro","585.19"
"Mean Weekly Earnings","2014","Offaly","Both sexes","Euro","609.05"
"Mean Weekly Earnings","2014","Offaly","Male","Euro","678.16"
"Mean Weekly Earnings","2014","Offaly","Female","Euro","539.83"
"Mean Weekly Earnings","2014","Westmeath","Both sexes","Euro","634.38"
"Mean Weekly Earnings","2014","Westmeath","Male","Euro","706.9"
"Mean Weekly Earnings","2014","Westmeath","Female","Euro","563.9"
"Mean Weekly Earnings","2014","Wexford","Both sexes","Euro","570.62"
"Mean Weekly Earnings","2014","Wexford","Male","Euro","639.14"
"Mean Weekly Earnings","2014","Wexford","Female","Euro","507.64"
"Mean Weekly Earnings","2014","Wicklow","Both sexes","Euro","698.29"
"Mean Weekly Earnings","2014","Wicklow","Male","Euro","826.61"
"Mean Weekly Earnings","2014","Wicklow","Female","Euro","579.29"
"Mean Weekly Earnings","2014","Clare","Both sexes","Euro","655.19"
"Mean Weekly Earnings","2014","Clare","Male","Euro","760.89"
"Mean Weekly Earnings","2014","Clare","Female","Euro","562.52"
"Mean Weekly Earnings","2014","Cork","Both sexes","Euro","676.26"
"Mean Weekly Earnings","2014","Cork","Male","Euro","789.74"
"Mean Weekly Earnings","2014","Cork","Female","Euro","566.87"
"Mean Weekly Earnings","2014","Kerry","Both sexes","Euro","584.1"
"Mean Weekly Earnings","2014","Kerry","Male","Euro","660.26"
"Mean Weekly Earnings","2014","Kerry","Female","Euro","517.05"
"Mean Weekly Earnings","2014","Limerick","Both sexes","Euro","660.47"
"Mean Weekly Earnings","2014","Limerick","Male","Euro","758.53"
"Mean Weekly Earnings","2014","Limerick","Female","Euro","564.85"
"Mean Weekly Earnings","2014","Tipperary","Both sexes","Euro","617.91"
"Mean Weekly Earnings","2014","Tipperary","Male","Euro","700.88"
"Mean Weekly Earnings","2014","Tipperary","Female","Euro","542.24"
"Mean Weekly Earnings","2014","Waterford","Both sexes","Euro","625.29"
"Mean Weekly Earnings","2014","Waterford","Male","Euro","722.47"
